Rank,Name,Age,YTD,Singles,Doubles,Career
437,Juan Manuel La Serna,21,26496.0,24355.0,2141.0,55872.0
438,Luciano Emanuel Ambrogi,22,35031.0,29634.0,5397.0,92047.0
439,Oleg Prihodko,28,47026.0,40463.0,6563.0,185363.0
440,Milos Karol,23,54577.0,31682.0,22895.0,123885.0
441,Mae Malige,19,63704.0,62075.0,1629.0,102302.0
442,Buvaysar Gadamauri,25,30697.0,24926.0,5771.0,86600.0
443,Federico Bondioli,20,72878.0,40080.0,32798.0,106640.0
444,Jonas Forejtek,24,33322.0,24559.0,8763.0,215043.0
445,Yusuke Takahashi,28,29940.0,29026.0,914.0,209885.0
446,Max Wiskandt,23,43164.0,40070.0,3094.0,77721.0
